Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Ek Do Teen Song,Shreya Ghoshal,Bollywood Dance,Baaghi 2,8.6
Tere Liye,"Akanksha Bhandari, Atif Aslam",Bollywood Romantic,Namaste England,9.5
Nazam Nazam,"Arko, Ayushman Khurana",Bollywood Romance,Bareilly Ki Barfi,9.5
Good Morning,"Shannon Donald, Vishal Dadlani",Bollywood,Ek Ladki Ko Dekha Toh Aisa Laga,9.0
O Saathi,"Atif Aslam, Payal Dev",Bollywood Romantic,Baaghi 2,9.4
Tere Jaisa,"Arko, Tulsi Kumar",Bollywood Romantic,Satyameva Jayate,9.2
Mera Intkam Dekhegi,Krishna Beuraa,Bollywood Sad,Shaadi Mein Zaroor Aana,9.6
Gerua,"Antara Mitra, Arijit Singh",Bollywood Romantic,Dilwale,9.3
Suraiyya,"Shreya Ghoshal, Vishal Dadlani",Bollywood Dance,Thugs of Hindostan,7.7
Gold Tamba,Nakash Aziz,Bollywood Dance,Batti Gul Meter Chalu,9.2
Ae Dil Hai Mushkil,Arijit Singh,Bollywood Sad,Ae Dil Hai Mushkil,9.3
Prem Ratan Dhan Payo,Palak Muchhal,Bollywood Dance Romantic,Prem Ratan Dhan Payo,7.7
Mohabbat,Sunidhi Chauhan,Bollywood Dance,Fanney Khan,9.0
Nainowale Ne,Neeti Mohan,Bollywood Romantic,Padmaavat,9.5
Mummy Kasam,"Gurinder Seagal, Payal Dev",Bollywood Dance,Nawabzaade,9.4
Nasha,Amit Gupta,Bollywood Sensual,Game Paisa Ladki,9.0
Bulleya,"Amit Mishra, Shilpa Rao",Bollywood Dance Sad,Ae Dil Hai Mushkil,9.2
Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",Bollywood Dance,Kapoor & Sons,9.0
Musafir,"Atif Aslam, Palak Muchhal",Bollywood Sad,Sweetiee Weds NRI,9.4
Binte Dil,Arijit Singh,Bollywood Dance,Padmaavat,9.4
Halka Halka,"Divya Kumar, Sunidhi Chauhan",Bollywood Romantic,Fanney Khan,9.1
Humsafar,"Akhil Sachdeva, Mansheel Gujral",Bollywood Romantic Sad,Badrinath Ki Dulhania,9.3
Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",Bollywood Dance,Gold,9.2
Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",Bollywood Sensual,Hate Story 4,9.1
Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",Bollywood Dance Romantic,Kabhi Khushi Kabhie Gham,9.0
Sawarne Lage,Jubin Nautiyal,Bollywood Romantic,Mitron,9.8
Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",Bollywood Dance,Judwaa 2,8.9
Selfish,"Atif Aslam, Iulia Vantur",Bollywood Romantic,Race 3,6.8
Oonchi Hai Building,"Anu Malik, Neha Kakkar",Bollywood Dance,Judwaa 2,8.9
Shikwa Nahin Kisi Se,Kumar Sanu,Bollywood Sad,Naseeb,8.2
Sanam Re,Arijit Singh,Bollywood Romantic,Sanam Re,8.7
Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",Bollywood Dance,Saajan,8.2
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",Bollywood Sad,Half Girlfriend,9.4
Suit Suit,"Arjun, Guru Randhawa",Bollywood Dance,Hindi Medium,9.0
Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",Bollywood Dance,Junooniyat,8.9
Ishq Di Baajiyan,Diljit Dosanjh,Bollywood Romantic,Soorma,9.9
Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",Bollywood Dance,Batti Gul Meter Chalu,8.7
Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",Bollywood Dance,Raees,8.9
Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",Bollywood Romantic,Stree,9.6
Nachle Na,"Guru Randhawa, Neeti Mohan",Bollywood Dance,Dil Juunglee,9.5
Hatt Ja Tau,Sunidhi Chauhan,Bollywood Dance,Veerey Ki Wedding,8.7
Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",Bollywood Dance,Roy,8.4
La La La (Baazaar),"Bilal Saeed, Neha Kakkar",Bollywood Dance Romantic,Baazaar,9.5
Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",Bollywood Sad,Genius,9.3
Hua Hain Aaj Pehli Baar,"Armaan Malik, Palak Muchhal",Bollywood Romantic,Sanam Re,8.3
Jay-Jaykara,Kailash Kher,Bollywood Sad,Baahubali 2 - The Conclusion,9.2
Tu Hi Hai,Rahul Mishra,Bollywood,Half Girlfriend,9.3
Hawa Hawa,"Mika Singh, Prakriti Kakkar",Bollywood Dance,Mubarakan,8.9
Bhangra Ta Sajda,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",Bollywood Dance,Veere Di Wedding,8.7
Deewani Mastani,"Ganesh Chandanshive, Shreya Ghoshal",Bollywood Dance,Bajirao Mastani,9.1
O Meri Laila,"Atif Aslam, Jyotica Tangri",Bollywood Romantic,Laila Majnu,9.6
Lo Safar,Jubin Nautiyal,Bollywood Romantic,Baaghi 2,9.4
Chalte Chalte,Atif Aslam,Bollywood Romantic,Mitron,9.6
Party Chale On,"Iulia Vantur, Mika Singh",Bollywood Dance,Race 3,8.6
Sweety Tera Drama,"Dev Negi, Pawni Pandey, Shraddha Pandit",Bollywood Dance,Bareilly Ki Barfi,9.1
Ek Dil Ek Jaan,Shivam Pathak,Bollywood Romantic,Padmaavat,9.2
Ae Watan,Arijit Singh,Bollywood Patriotic,Raazi,9.6
Sunn Le Zara,Arnab Dutta,Bollywood Sad,1921,9.6
Naam Hai Mera,Neeti Mohan,Bollywood Romantic Sad,Hate Story 4,8.8
Jiyo Re Baahubali,"Daler Mehndi, Ramya Behara, Sanjeev Chimmalgi",Bollywood Dance,Baahubali 2,8.7
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",Bollywood Romantic Sad,Baaghi 2,9.4
Mundiyan,"Navraj Hans, Palak Muchhal",Bollywood Dance,Baaghi 2,9.0
Chitthi Aai Hai,Pankaj Udhas,Bollywood Sad,Naam,8.1
Hawayein,Arijit Singh,Bollywood Romantic,Jab Harry Met Sejal,9.6
Channa Mereya,Arijit Singh,Bollywood Sad,Ae Dil Hai Mushkil,9.3
Lag Ja Gale,Jonita Gandhi,Bollywood Romantic,Saheb Biwi Aur Gangster 3,9.4
Sleepy Sleepy Akiyaan,"Asees Kaur, Yasser Desai",Bollywood Dance,Bhaiaji Superhit,9.2
Subah Subah,"Amaal Mallik, Arijit Singh, Prakriti Kakkar",Bollywood Dance,Sonu Ke Titu Ki Sweety,9.5
Naina Da Kya Kasoor,Amit Trivedi,Bollywood Romantic,Andha Dhun,9.6
Soorma Anthem,Shankar Mahadevan,Bollywood Motivational,Soorma,9.9
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Bollywood Sad,Tamasha,9.4
Tum Se,Jubin Nautiyal,Bollywood Romantic Sad,Jalebi,9.7
Kem Cho,"Ikka, Jyotica Tangri",Bollywood Dance,Baazaar,9.4
Aaj Se Teri,Arijit Singh,Bollywood Romantic,Padman,9.4
Maana Ke Hum Yaar Nahin,Parineeti Chopra,Bollywood Romantic,Meri Pyaari Bindu,9.5
Nain Na Jodeen,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",Bollywood Romantic Sad,Badhaai Ho,9.3
Wajah Tum Ho,"Altamash Faridi, Mithoon, Tulsi Kumar",Bollywood Romantic Sad Sensual,Wajah Tum Ho,8.1
Pyaar De,Ankit Tiwari,Bollywood Romantic,Beiimaan Love,8.5
Ik Vaari Aa,Arijit Singh,Bollywood Romantic,Raabta,9.4
Radha,"Shekhar Ravjiani, Shreya Ghoshal, Udit Narayan, Vishal Dadlani",Bollywood Dance,Student of the Year,8.6
Mehbooba,"Mohammed Rafi, Neha Kakkar, Yasser Desai",Bollywood Dance,Fukrey Returns,9.4
Hamari Adhuri Kahani,Arijit Singh,Bollywood Sad,Hamari Adhuri Kahani,9.3
Tere Sang Yaara,Atif Aslam,Bollywood Romantic,Rustom,9.1
Radha,"Shahid Mallya, Sunidhi Chauhan",Bollywood Romantic,Jab Harry Met Sejal,9.2
Kamli,Sunidhi Chauhan,Bollywood Dance,Dhoom 3,9.0
Maiya Yashoda,"Alka Yagnik, Anuradha Paudwal, Kavita Krishnamurthy",Bollywood Dance,Hum Saath-Saath Hain,7.2
Lae Dooba,Sunidhi Chauhan,Bollywood Sad,Aiyaary,9.7
Abhi Toh Party Shuru Hui Hai,"Aastha Gill, Badshah",Bollywood Dance,Khoobsurat,8.5
Hello Hello,Rekha Bhardwaj,Bollywood Dance,Pataakha,7.7
Bola Har Har Har,"Aaman Trikha, Badshah, Sukhwinder Singh",Bollywood Devotional,Shivaay,9.3
Bolo Har Har Har,"Anugrah, Badshah, Megha Sriram Dalton, Mithoon, Mohit Chauhan, Sukhwinder Singh",Bollywood Dance,Shivaay,9.3
Tera Mera Rishta,"KK, Shreya Ghoshal",Bollywood Romantic,Jalebi,9.7
Gal Ban Gayi,"Meet Bros, Neha Kakkar, Sukhbir Singh, Yo Yo Honey Singh",Bollywood Dance,Single,9.0
Bol Do Na Zara,Armaan Malik,Bollywood Romantic,Azhar,9.2
Lakk Mera Hit,"Mannat Noor, Rochak Kohli, Sukriti Kakar",Bollywood Dance,Sonu Ke Titu Ki Sweety,9.2
Sexy Baliye,Mika Singh,Bollywood Dance,Dil Chahta Hai,8.8
Main Jahaan Rahoon,Rahat Fateh Ali Khan,Bollywood Sad,Namastey London,9.1
Hasi Ban Gaye,Shreya Ghoshal,Bollywood Romantic,Hamari Adhuri Kahani,9.3
Nachde Ne Saare,"Harshdeep Kaur, Jasleen Royal, Siddharth Mahadevan",Bollywood Dance,Baar Baar Dekho,9.2
Manma Emotion Jaage,"Amit Mishra, Antara Mitra, Anushka Manchanda",Bollywood Dance Romantic,Dilwale,9.0
Happy Happy,"Aastha Gill, Badshah",Bollywood,Blackmail,9.2
Tujhko Na Dekhun,"Sunidhi Chauhan, Udit Narayan",Bollywood,Jaanwar,8.5
Theher Ja,Armaan Malik,Bollywood Romantic,October,9.6
Boond Boond,"Jubin Nautiyal, Neeti Mohan",Bollywood Romantic,Hate Story 4,9.3
Adhura Lafz,"Pratibha Singh Baghel, Rahat Fateh Ali Khan",Bollywood Romantic,Baazaar,9.7
Trippy Trippy,"Badshah, Benny Dayal, Brijesh Shandilya, Neha Kakkar",Bollywood Dance,Bhoomi,8.5
Tukur Tukur,"Arijit Singh, Kanika Kapoor, Nakash Aziz, Neha Kakkar, Siddharth Mahadevan",Bollywood Dance,Dilwale,8.9
Teri Khair Mangdi,Bilal Saeed,Bollywood Sad,Baar Baar Dekho,9.6
Pinga,"Shreya Ghoshal, Vasihali Made",Bollywood Dance,Bajirao Mastani,8.7
Haanikaarak,Sarwar Khan,Bollywood,Dangal,8.4
Tere Thumke Sapna Chaudhary,"Gunwant Sen, Khushboo Jain, Saumya Upadhyay",Bollywood Dance,Nanu Ki Jaanu,9.2
Badnaamiyan,Armaan Malik,Bollywood Romantic,Hate Story 4,9.2
Malhari,Vishal Dadlani,Bollywood Dance,Bajirao Mastani,9.1
Piya More,"Mika Singh, Neeti Mohan",Bollywood,Baadshaho,9.1
High Heels Te Nachche,"Aditi Singh Sharma, Jaz Dhami, Meet Bros",Bollywood Dance,Ki & Ka,8.7
Shake Karaan,"Kanika Kapoor, Meet Bros",Bollywood Dance,Munna Michael,8.9
Thodi Der,"Farhan Saeed, Shreya Ghoshal",Bollywood Sad,Half Girlfriend,9.4
Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",Bollywood Dance,Har Dil Jo Pyar Karega,8.4
Raabta,Nikhita Gandhi,Bollywood Romantic,Raabta,9.0
Nach Meri Jaan,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",Bollywood Dance,Tubelight,9.1
Janam Janam,"Antara Mitra, Arijit Singh",Bollywood Romantic,Dilwale,9.4
Andha Dhun,Raftaar,Bollywood Dance,Andha Dhun,9.6
Holi Biraj Ma,Jubin Nautiyal,Bollywood Dance,Genius,9.3
Kal Ho Naa Ho Title Track,Sonu Nigam,Bollywood Sad,Kal Ho Naa Ho,9.5
Enna Sona,"A.R. Rahman, Arijit Singh",Bollywood Romantic,Ok Jaanu,9.5
Little Little,Harrdy Sandhu,Bollywood Dance,Yamla Pagla Deewana Phir Se,9.2
Maa Sherawaliye,Sonu Nigam,Bollywood,Khiladiyon Ka Khiladi,7.6
Disco Disco,"Benny Dayal, Shirley Setia",Bollywood Dance,A Gentleman,8.9
Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",Bollywood Sad,Raabta,9.6
Aahista,"Arijit Singh, Jonita Gandhi",Bollywood Romantic,Laila Majnu,9.4
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,9.4
Kisi Se Tum Pyaar Karo,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Andaaz,8.6
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,9.4
Baba Bolta Hain Bas Ho Gaya,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood,Sanju,9.6
Sultan Title Song,"Shadaab Faridi, Sukhwinder Singh",Bollywood Motivational,Sultan,8.9
Radio,"Amit Mishra, Kamaal khan",Bollywood Dance,Tubelight,8.6
Sab Badhiya Hai,Sukhwinder Singh,Bollywood Dance,Sui Dhaaga,9.2
Chin Chin Chu,"Jassi Gill, Sonakshi Sinha",Bollywood Dance,Happy Phirr Bhaag Jayegi,8.7
Beat Pe Booty,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",Bollywood Dance,A Flying Jatt,8.9
Jag Ghoomeya,Rahat Fateh Ali Khan,Bollywood Romantic,Sultan,8.7
Jogi,"Aakanksha Sharma, Yasser Desai",Bollywood Romantic,Shaadi Mein Zaroor Aana,9.6
Lets Nacho,"Badshah, Benny Dayal",Bollywood Dance,Kapoor & Sons,9.2
Tu Tu Hai Wahi,"Asha Bhosle, Kishore Kumar",Bollywood Romantic,Yeh Vaada Raha,9.2
Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",Bollywood Dance,Yeh Vaada Raha,9.2
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",Bollywood Dance,ABCD 2,9.4
Jeene Laga Hoon,Atif Aslam,Bollywood Romantic,Ramaiya Vastavaiya,9.0
Nit Khair Manga,Rahat Fateh Ali Khan,Bollywood Romantic,Raid,9.4
Jitni Dafa,"Jeet Gannguli, Yasser Desai",Bollywood Romantic,Parmanu The Story of Pokhran,9.7
Wajah Tum Ho,Armaan Malik,Bollywood Romantic Sensual,Hate Story 3,8.8
Rozana,Shreya Ghoshal,Bollywood Romantic,Naam Shabana,9.6
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",Bollywood Romantic Sad,Namaste England,9.4
Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",Bollywood Dance,Dil Dhadakne Do,8.9
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",Bollywood Dance,Tiger Zinda Hai,9.4
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",Bollywood Dance,Poster Boys,9.0
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",Bollywood Dance,Poster Boys,9.0
Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",Bollywood Romantic,Andha Dhun,9.5
Socha Hai,"Jubin Nautiyal, Neeti Mohan",Bollywood Romantic,Baadshaho,9.5
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",Bollywood Sad,Creature 3D,9.3
Pehle Ke Jaisa,K.K.,Bollywood Sad,Jalebi,9.7
Main Woh Chaand,Darshan Raval,Bollywood Romantic Sad,Teraa Surroor,9.0
Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",Bollywood Dance,Dulhe Raja,8.2
Jab Tak,"Amaal Mallik, Armaan Malik",Bollywood Romantic,M.S. Dhoni,9.4
Luv Letter,"Kanika Kapoor, Meet Bros",Bollywood Dance,The Legend of Michael Mishra,9.1
Ullu ka Pattha,"Arijit Singh, Nikhita Gandhi",Bollywood,Jagga Jasoos,8.8
Yaad Hai Na,Arijit Singh,Bollywood Romantic,Raaz Reboot,9.1
Balma,"Rekha Bhardwaj, Sunidhi Chauhan",Bollywood Dance,Pataakha,9.2
Kisi Se Pyar Ho Jaye,Jubin Nautiyal,Bollywood Dance Romantic,Kaabil,9.2
Sau Aasmaan,"Armaan Malik, Neeti Mohan",Bollywood Dance,Baar Baar Dekho,9.4
Beparwah,"Nandini Deb, Siddharth Basrur",Bollywood Dance,Munna Michael,9.0
Yaad Hai,"Ankit Tiwari, Palak Muchhal",Bollywood Sad,Aiyaary,9.7
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",Bollywood Dance,Manmarziyaan,9.4
Aaj Zid,Arijit Singh,Bollywood Sensual,Aksar 2,9.1
Hum Pyaar Hai Tumhare,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Haan Maine Bhi Pyaar Kiya,8.8
Main Hoon,Siddharth Mahadevan,Bollywood Dance,Munna Michael,9.1
Swag Saha Nahi Jaye,"Neha Bhasin, Shadab Faridi, Sohail Sen",Bollywood Dance,Happy Phirr Bhaag Jayegi,9.1
Chote Bade,"Ankit Tiwari, Mika Singh",Bollywood Dance,Fry Day,8.7
Main Hoon Saath Tere,Arijit Singh,Bollywood Romantic,Shaadi Mein Zaroor Aana,9.7
Kabira,"Rekha Bhardwaj, Tochi Raina",Bollywood Sad,Yeh Jawaani Hai Deewani,9.4
Main Kaun Hoon,Meghna Mishra,Bollywood Sad,Secret Superstar,9.5
Aashiq Surrender Hua,"Amaal Mallik, Shreya Ghoshal",Bollywood Dance,Badrinath Ki Dulhania,8.8
Nachan Farrate,"Kanika Kapoor, Meet Bros",Bollywood Dance,All is Well,8.9
Pyar De Pyar Le,"Dev Negi, Ikka, Iulia Vantur",Bollywood Dance,Genius,9.3
Do Peg Maar,Neha Kakkar,Bollywood Dance,One Night Stand,8.5
Tera Noor,Jyoti Nooran,Bollywood,Tiger Zinda Hai,9.3
Jaanu,"Juggy D, Raftaar, Shivi",Bollywood Dance,Behen Hogi Teri,9.2
Hamdard,Arijit Singh,Bollywood Romantic,Ek Villain,9.5
Hawa Hawai 2.0,"Kavita Krishnamurthy, Shashaa Tirupati",Bollywood Dance,Tumhari Sulu,8.9
